v0.4.0,v0.5.0,v0.6.0,0.6.2,v0.6.3,v0.7.0,v0.8.0,v0.9.0,v0.9.1,v0.10.0,v0.10.1,v0.10.2,v0.11.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2,v1.2.0,v1.3.0,v1.4.0,v1.5.0,v1.5.1,v1.6.0,v1.6.1,v1.6.2,v1.7.0,v1.7.1,v1.7.2,v1.8.0,v1.8.1,v1.8.2,v1.9.0,v1.9.1,v1.9.2,v2.0.0-RC1
0.698093403,0.694950962,0.697340698,0.695982558,0.696206977,0.688157796,0.688595968,0.693061538,0.693061538,0.690198798,0.691658654,0.691658654,0.698234406,0.705823775,0.715990888,0.715990888,0.715990888,0.716990046,0.719013303,0.72022133,0.720883182,0.720883182,0.722424561,0.722424561,0.722450658,0.722602632,0.722481304,0.722481304,0.722626078,0.722626078,0.722626078,0.721108846,0.721108846,0.721129615,0.723696023
-0.2182,-0.2998,-0.2938,-0.3009,-0.299,-0.3532,-0.3507,-0.3512,-0.3512,-0.3704,-0.3736,-0.3736,-0.366,-0.3503,-0.3439,-0.3439,-0.3439,-0.3415,-0.3332,-0.3325,-0.3278,-0.3278,-0.3204,-0.3204,-0.3201,-0.3057,-0.3088,-0.3088,-0.3083,-0.3083,-0.3083,-0.2954,-0.2954,-0.2951,-0.2863
0.0372,0.036,0.0306,0.0311,0.0311,0.0296,0.0296,0.0252,0.0252,0.0263,0.0265,0.0265,0.0286,0.0281,0.0264,0.0264,0.0264,0.026,0.0263,0.0264,0.026,0.026,0.0256,0.0256,0.0256,0.0261,0.0261,0.0261,0.0259,0.0259,0.0259,0.0226,0.0226,0.0226,0.0223
0.0372,0.036,0.0306,0.0311,0.0311,0.0296,0.0296,0.0252,0.0252,0.0263,0.0265,0.0265,0.0286,0.0281,0.0264,0.0264,0.0264,0.026,0.0263,0.0264,0.026,0.026,0.0256,0.0256,0.0256,0.0261,0.0261,0.0261,0.0259,0.0259,0.0259,0.0226,0.0226,0.0226,0.0223
0.0158,0.0143,0.0123,0.0124,0.0131,0.0105,0.0102,0.0095,0.0096,0.0097,0.0098,0.0098,0.0098,0.0098,0.0091,0.0091,0.0091,0.0095,0.0095,0.01,0.0102,0.0099,0.0095,0.0095,0.0093,0.01,0.0098,0.0098,0.0095,0.0095,0.0095,0.0078,0.0078,0.0079,0.0076
0.043,0.0272,0.0327,0.0358,0.0422,0.0321,0.0319,0.0392,0.0368,0.0499,0.0377,0.0377,0.0281,0.0289,0.0267,0.0267,0.0267,0.0335,0.0216,0.0302,0.028,0.0274,0.0296,0.0296,0.0249,0.0376,0.0373,0.0373,0.0401,0.0401,0.0401,0.0246,0.0246,0.0318,0.0267
0.0544,0.0507,0.0489,0.052,0.0504,0.0491,0.0498,0.0437,0.0441,0.0442,0.0448,0.0448,0.0455,0.0463,0.0479,0.0479,0.0479,0.0481,0.0484,0.0484,0.0468,0.0468,0.0506,0.0506,0.0528,0.0605,0.0599,0.0599,0.0615,0.0615,0.0615,0.0555,0.0555,0.0555,0.0599
0.005,0.0045,0.0041,0.0041,0.0041,0.0036,0.0036,0.0036,0.0037,0.0034,0.0036,0.0036,0.0037,0.0036,0.0034,0.0034,0.0034,0.0035,0.0033,0.0034,0.0034,0.0034,0.0031,0.0031,0.0031,0.0031,0.003,0.003,0.003,0.003,0.003,0.0026,0.0026,0.0026,0.0027
0.0511,0.043,0.0387,0.0396,0.0394,0.0343,0.0372,0.0323,0.0304,0.03,0.0312,0.0312,0.0337,0.0339,0.0314,0.0314,0.0314,0.032,0.0336,0.0344,0.0351,0.0356,0.0352,0.0352,0.0352,0.0357,0.035,0.035,0.0334,0.0334,0.0334,0.0307,0.0307,0.03,0.0289
0.5307,0.5204,0.5345,0.5282,0.5252,0.5367,0.5368,0.5396,0.5395,0.5442,0.5393,0.5393,0.5299,0.5294,0.534,0.534,0.534,0.5276,0.4741,0.4742,0.4766,0.4766,0.4822,0.4822,0.4824,0.4849,0.485,0.485,0.4833,0.4833,0.4833,0.48,0.48,0.4803,0.4892
0.3689,0.3511,0.3675,0.3644,0.3601,0.3463,0.3458,0.3584,0.3583,0.366,0.3612,0.3612,0.3566,0.3473,0.3482,0.3482,0.3482,0.3459,0.3105,0.3104,0.314,0.314,0.3127,0.3127,0.3127,0.3125,0.3103,0.3103,0.3091,0.3091,0.3091,0.318,0.318,0.3181,0.3219
